Fuente,Titulo,Resumen de Contenido,Seccion,URL,Fecha
La Jornada,Johan Vásquez anota al Inter   ,"Johan Vásquez (derecha) anotó su primer gol de esta temporada en el partido que su equipo, el Génova, perdió frente al Inter de Milán. En la imagen disputa el balón con el argentino Lautaro Martínez.",Deportes,https://www.jornada.com.mx/2024/03/05/deportes/a11n3dep?partner=rss,05/03/2024
La Jornada,Conflictos en Red Bull ponen en riesgo permanencia de Verstappen   ,"Los conflictos en Red Bull pueden desencadenar la partida de Max Verstappen, vigente tricampeón de la Fórmula Uno. La situación por la que atraviesa el director Christian Horner, acusado por una supuesta “conducta inapropiada” hacia una empleada, ha generado un ambiente de intranquilidad alrededor de la escudería austriaca. Ni la victoria de Verstappen, ni el segundo lugar de Sergio Pérez en el arranque de la temporada calmaron la turbulencia.",Deportes,https://www.jornada.com.mx/2024/03/05/deportes/a11n2dep?partner=rss,05/03/2024
La Jornada,Tuzas se imponen 2-0 a Puebla   ,"Pachuca femenil alcanzó ayer el subliderato de la Liga Mx, al tiempo que Monterrey y Chivas golearon en el cierre de la jornada nueve. Pese a varias bajas, las Tuzas obtuvieron una victoria cómoda ante Puebla (2-0). Chinwendu Ihezuo y Destinne Manzo anotaron para que las hidalguenses llegaran a 20 unidades, un punto por arriba de Monterrey que, en la Sultana del Norte, apaleó a Santos (6-0), equipo que ya suma 42 goles en contra. En el estadio Akron, Chivas superó a Necaxa (4-0) en un juego que se definió en los primeros 20 minutos con tantos de Dana Sandoval, Carolina Jaramillo y autogol de Brissa Range.",Deportes,https://www.jornada.com.mx/2024/03/05/deportes/a31n1dep?partner=rss,05/03/2024
La Jornada,Los Broncos liberan al mariscal Russell Wilson   ,"Englewood. Los Broncos de Denver comunicaron a Russell Wilson que lo dejarán en libertad la próxima semana, a 18 meses de firmar al mariscal de campo ganador del Supertazón con una extensión de contrato de cinco años y 242 millones de dólares. Un potencial destino para Wilson es Pittsburgh, que tiene programada en su calendario una visita a Denver en los próximos días. Con la salida de Russell, la franquicia deberá absorber un golpe de 89 millones de dólares en dinero muerto las próximas dos temporadas. Bajo el mando del entrenador Sean Payton, Wilson tuvo una temporada buena, pero no fue suficiente y Payton lo mandó a la banca en lugar de Jarrett Stidham los dos partidos anteriores. Los Broncos cerraron el calendario 8-9, su octava campaña en fila sin llegar a playoffs. Wilson fue adquirido en 2022 proveniente de los Halcones Marinos de Seattle, donde se coronó en 2013.",Deportes,https://www.jornada.com.mx/2024/03/05/deportes/a31n2dep?partner=rss,05/03/2024
La Jornada,"La cultura y extravagancia de París, en carteles de los Olímpicos   ","París. Colores vibrantes y sitios emblemáticos iluminan los carteles de los Juegos Olímpicos de París, en un estilo art déco inspirado en el pasado extravagante de la ciudad.",Deportes,https://www.jornada.com.mx/2024/03/05/deportes/a11n1dep?partner=rss,05/03/2024
La Jornada,Willars afina el salto más difícil del mundo para París 2024   ,Randal Willars tiene un as bajo la manga de cara a su presentación en los Juegos Olímpicos de París 2024: el salto de mayor grado de dificultad que se realiza en el mundo.,Deportes,https://www.jornada.com.mx/2024/03/05/deportes/a12n1dep?partner=rss,05/03/2024
La Jornada,"Indian Wells, el próximo objetivo del tenista Santiago González   "," Indian Wells, primer Masters 1000 de la temporada, es el próximo objetivo de Santiago González, subcampeón del Abierto Mexicano de Tenis.",Deportes,https://www.jornada.com.mx/2024/03/05/deportes/a12n2dep?partner=rss,05/03/2024
La Jornada,"La Liga Expansión Mx, un año más sin el ascenso   ","En la Federación Mexicana de Futbol (FMF), el regreso del ascenso y descenso en la primera división es un tema que sigue cerrado. Desde hace varias temporadas, los clubes de la Liga de Expansión han salido a expresarse en contra de la medida tomada en 2020, pero las máximas autoridades mantienen las mismas condiciones para abrir la competencia deportiva. Eso significa que al menos cuatro franquicias deben estar certificadas para la Temporada 2024-25, de las cuales sólo una, el Atlante, ha podido acreditar los requisitos.",Deportes,https://www.jornada.com.mx/2024/03/05/deportes/a10n1dep?partner=rss,05/03/2024
La Jornada,Golean al América y las celestes se hunden   ,"La visita del América al estadio Nemesio Díez terminó en pesadilla. Nada pudo salvar a las actuales subcampeonas de una goleada por 3-0 ante el Toluca, un rival que las dominó con una notable consistencia en el ataque para sumar su tercer triunfo en nueve fechas de la Liga Mx Femenil.",Deportes,https://www.jornada.com.mx/2024/03/05/deportes/a10n2dep?partner=rss,05/03/2024
La Jornada,Se incrementó en casi 44% la deuda de Pemex con proveedores y contratistas   ,"Petróleos Mexicanos (Pemex) reportó un aumento de casi 44 por ciento en su deuda con proveedores y contratistas, la cual ascendió a 139 mil 115 millones de pesos al cierre de febrero, en comparación con el de octubre.",Economía,https://www.jornada.com.mx/2024/03/05/economia/019n2eco?partner=rss,05/03/2024
